Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SignIn,300,256,178,395,35.63,0.00%,1.00232,0.48,0.37,492
Add Languages,300,48,37,137,10.98,0.00%,1.00281,0.2,0.58,207
Update Languages,300,157,131,296,20.59,0.00%,1.00235,0.21,0.61,215
Remove Languages,300,45,33,302,20.96,0.00%,1.00266,0.19,0.58,199
Add Skills,300,47,35,141,8.67,0.00%,1.00262,0.2,0.61,207
Update Skills,300,159,132,382,22.92,0.00%,1.00217,0.2,0.64,207
Remove Skills,300,44,34,91,7.37,0.00%,1.00248,0.19,0.59,196
Add Educations,300,47,36,126,7.05,0.00%,1.00245,0.2,0.66,207
Update Educations,300,159,70,406,24.09,0.00%,1.002,0.21,0.69,218
Remove Educations,300,45,34,138,8.2,0.00%,1.00229,0.21,0.58,218
Add Certifications,300,48,34,133,8.65,0.00%,1.00225,0.2,0.64,207
Remove Certifications,300,43,33,114,7.07,0.33%,1.00222,0.2,0.58,207.7
Add Description,300,44,35,128,8.71,0.00%,1.00219,0.22,0.67,223
Add ShareSkill,300,86,68,818,50.71,0.00%,1.00201,0.22,1.31,224
View ShareSkill,300,76,67,148,9.87,0.00%,1.00197,1.39,0.55,1418.9
Toogle Disable,300,115,98,204,12.93,0.00%,1.00179,0.19,0.57,190
Toogle Enable,300,117,98,368,18.13,0.00%,1.00175,0.18,0.57,189
Delete ShareSkill,300,159,133,314,18.92,0.00%,1.00158,0.19,0.57,196
Search Skills by categor,300,673,581,1153,57.76,0.00%,0.99974,5.49,0.66,5621
TOTAL,5700,125,33,1153,143.81,0.02%,18.90152,10.53,11.92,570.7
